,Group,Element,Action,Value,Strategy,XPath
27,Documents,upload-front-input,Input,C:\fakepath\passport.jpg,id,"//*[@id=""upload-front-input""]"
28,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
29,Documents,National Identification Card,click,,data-testid,"//*[@data-testid=""option-1""]"
30,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
31,Documents,upload-front-input,Input,C:\fakepath\nic_front.jpg,id,"//*[@id=""upload-front-input""]"
32,Documents,upload-back-input,click,,id,"//*[@id=""upload-back-input""]"
33,Documents,upload-back-input,Input,C:\fakepath\nic_back.jpg,id,"//*[@id=""upload-back-input""]"
34,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
35,Documents,FLOW BILL,click,,data-testid,"//*[@data-testid=""option-0""]"
36,Documents,mailingCity,click,,id,"//*[@id=""mailingCity""]"
37,Documents,mailingCity,Input,PORT OF SPAIN,id,"//*[@id=""mailingCity""]"
38,Documents,permanentAddressSameAsMailing,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
39,Documents,utilityDocOption,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1]
40,Documents,Save and Continue,click,,data-testid,"//*[@data-testid=""save-and-continue-button""]"
41,Additional Details,Select Employment Status,click,,data-testid,"//*[@data-testid=""dropdown-text"" and contains(., ""Select Employment Status"")]"
42,Additional Details,FULL TIME PERMANENT,click,,data-testid,"//*[@data-testid=""option-0""]"
43,Additional Details,Select Employer,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Select Employer"")]"
44,Additional Details,ABT ENGINEERS & CONSTRUCTORS L,click,,data-testid,"//*[@data-testid=""option-0""]"
45,Additional Details,occupation,click,,id,"//*[@id=""occupation""]"
46,Additional Details,occupation,Input,ENGINEER,id,"//*[@id=""occupation""]"
47,Additional Details,Choose sector,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose sector"")]"
48,Additional Details,PRIVATE SECTOR,click,,data-testid,"//*[@data-testid=""option-1""]"
49,Additional Details,Choose Employment Type,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Employment Type"")]"
50,Additional Details,Professional/Technical,click,,data-testid,"//*[@data-testid=""option-3""]"
51,Additional Details,employerAddressLine1,click,,id,"//*[@id=""employerAddressLine1""]"
52,Additional Details,employerAddressLine1,Input,1 INDEPENDENCE SQUARE,id,"//*[@id=""employerAddressLine1""]"
53,Additional Details,employerCity,click,,id,"//*[@id=""employerCity""]"
54,Additional Details,employerCity,Input,PORT OF SPAIN,id,"//*[@id=""employerCity""]"
55,Additional Details,Choose Country,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Country"")]"
56,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
57,Additional Details,workPhoneNo,click,,id,"//*[@id=""workPhoneNo""]"
58,Additional Details,workPhoneNo,Input,625-1234,id,"//*[@id=""workPhoneNo""]"
59,Additional Details,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
60,Additional Details,"$12,001-$17,000",click,,data-testid,"//*[@data-testid=""option-0""]"
61,Additional Details,Salary Frequency,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Salary Frequency"")]"
62,Additional Details,ANNUALLY,click,,data-testid,"//*[@data-testid=""option-0""]"
63,Additional Details,salary,click,,name,"//input[@name=""salary""]"
64,Additional Details,salary,Input,$ 15000.00,name,"//input[@name=""salary""]"
65,Additional Details,Account Funded,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Account Funded"")]"
66,Additional Details,Via Salary,click,,data-testid,"//*[@data-testid=""option-0""]"
67,Additional Details,nationalOfTTPrimary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
68,Additional Details,placeOfBirth,click,,id,"//*[@id=""placeOfBirth""]"
69,Additional Details,placeOfBirth,Input,PORT OF SPAIN,id,"//*[@id=""placeOfBirth""]"
70,Additional Details,Country of birth,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of birth"")]"
71,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
72,Additional Details,nationalOfTTSecondary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
73,Additional Details,Marital Status,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Marital Status"")]"
74,Additional Details,SINGLE,click,,data-testid,"//*[@data-testid=""option-5""]"
75,Additional Details,Highest Level of Education,click,,data-testid,"//*[@data-testid=""dropdown-text"" and contains(., ""Highest Level of Education"")]"
76,Additional Details,POSTGRADUATE DEGREE,click,,data-testid,"//*[@data-testid=""option-1""]"
77,Additional Details,Communication Method,click,,data-testid,"//*[@data-testid=""dropdown-button"" and contains(., ""Communication Method"")]"
78,Additional Details,Email,click,,data-testid,"//*[@data-testid=""option-0""]"
79,Additional Details,memberOfOtherCreditUnion,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1]
80,Additional Details,Save & Continue,click,,data-testid,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
81,Other Products,hasBeneficiary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
82,Other Products,hasJointPartner,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1]
83,Other Products,isApplyingForLincuCardApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
84,Other Products,isApplyingForFipApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[2]/input[1]
85,Other Products,hasRecommender,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[1]/label[2]/input[1]
86,Other Products,Save & Continue,click,,data-testid,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
87,PEP / FATCA,isHeadOfState,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
88,PEP / FATCA,isHeadOfGovt,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
89,PEP / FATCA,isSenPolitician,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/div[1]/label[2]/input[1]
90,PEP / FATCA,isSenGovtOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1]
91,PEP / FATCA,isSenJudicialOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[2]/div[1]/label[2]/input[1]
92,PEP / FATCA,isSenMilitaryOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[1]/label[2]/input[1]
93,PEP / FATCA,isSenExecSOC,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[7]/div[2]/div[1]/label[2]/input[1]
94,PEP / FATCA,isImpPPO,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[8]/div[2]/div[1]/label[2]/input[1]
95,PEP / FATCA,isImmediateFamily,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[9]/div[2]/div[1]/label[2]/input[1]
96,PEP / FATCA,isMemberOfSeniorManagement,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[10]/div[2]/div[1]/label[2]/input[1]
97,PEP / FATCA,isPepAssociate,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[11]/div[2]/div[1]/label[2]/input[1]
98,PEP / FATCA,isCitizenOfOtherCountry,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
99,PEP / FATCA,isGreenCardHolder,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
100,PEP / FATCA,isGranteePOA,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
101,PEP / FATCA,hasStandingInstructIncome,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[4]/div[1]/div[1]/label[2]/input[1]
102,PEP / FATCA,isDisclosureTaxResidency,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[5]/div[1]/div[1]/label[2]/input[1]
103,PEP / FATCA,Save & Continue,click,,data-testid,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
104,PDF / Other Details,Select File,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/label[1]
105,PDF / Other Details,jobLetter,click,,id,"//*[@id=""1.-job-letter-(less-than-3-months-old)""]"
106,PDF / Other Details,jobLetter,Input,C:\fakepath\JobLetter.pdf,id,"//*[@id=""1.-job-letter-(less-than-3-months-old)""]"
107,PDF / Other Details,Select File,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]
108,PDF / Other Details,paySlip,click,,id,"//*[@id=""2.-pay-slip-(less-than-1-month-old)""]"
109,PDF / Other Details,paySlip,Input,C:\fakepath\PaySlip.pdf,id,"//*[@id=""2.-pay-slip-(less-than-1-month-old)""]"
110,PDF / Other Details,Submit,click,,data-testid,"//*[@data-testid=""button""]"
111,PDF / Other Details,otp-input-0,click,,id,"//*[@id=""otp-input-0""]"
112,PDF / Other Details,otp-input-0,Input,1,id,"//*[@id=""otp-input-0""]"
113,PDF / Other Details,otp-input-1,Input,2,id,"//*[@id=""otp-input-1""]"
114,PDF / Other Details,otp-input-2,Input,1,id,"//*[@id=""otp-input-2""]"
115,PDF / Other Details,otp-input-3,Input,2,id,"//*[@id=""otp-input-3""]"
116,PDF / Other Details,otp-input-4,Input,1,id,"//*[@id=""otp-input-4""]"
117,PDF / Other Details,otp-input-5,Input,2,id,"//*[@id=""otp-input-5""]"
118,PDF / Other Details,Verify OTP,click,,data-testid,"//*[@data-testid=""submit-button""]"
