,Group,Element,Action,Value,Strategy,XPath
26,Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
27,Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
28,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
29,Documents,upload-front-input,Input,C:\fakepath\PASSPORT.png,id,"//*[@id=""upload-front-input""]"
30,Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
31,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
32,Documents,National Identification Card,click,,data-testid,"//*[@data-testid=""option-1""]"
33,Documents,Upload Front of ID,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
34,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
35,Documents,upload-front-input,Input,C:\fakepath\NIC_FRONT.png,id,"//*[@id=""upload-front-input""]"
36,Documents,Upload Back of ID,click,,data-testid,"//*[@data-testid=""file-upload-back-label""]"
37,Documents,upload-back-input,click,,id,"//*[@id=""upload-back-input""]"
38,Documents,upload-back-input,Input,C:\fakepath\NIC_BACK.png,id,"//*[@id=""upload-back-input""]"
39,Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
40,Documents,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1]
41,Documents,FLOW BILL,click,,data-testid,"//*[@data-testid=""option-0""]"
42,Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
43,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
44,Documents,upload-front-input,Input,C:\fakepath\FlowBill.jpg,id,"//*[@id=""upload-front-input""]"
45,Documents,mailingCity,click,,id,"//*[@id=""mailingCity""]"
46,Documents,mailingCity,Input,PORT OF SPAIN,id,"//*[@id=""mailingCity""]"
47,Documents,permanentAddressSameAsMailing,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
48,Documents,permanentAddressSameAsMailing,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
49,Documents,utilityDocOption,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1]
50,Documents,utilityDocOption,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1]
51,Documents,Save and Continue,click,,data-testid,"//*[@data-testid=""save-and-continue-button""]"
52,Additional Details,Select Employment Status,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""Select Employment Status"")]"
53,Additional Details,FULL TIME PERMANENT,click,,data-testid,"//*[@data-testid=""option-0""]"
54,Additional Details,Select Employer,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Select Employer"")]"
55,Additional Details,ABT ENGINEERS & CONSTRUCTORS L,click,,data-testid,"//*[@data-testid=""option-0""]"
56,Additional Details,occupation,click,,id,"//*[@id=""occupation""]"
57,Additional Details,occupation,Input,ENGINEER,id,"//*[@id=""occupation""]"
58,Additional Details,Choose sector,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose sector"")]"
59,Additional Details,PRIVATE SECTOR,click,,data-testid,"//*[@data-testid=""option-1""]"
60,Additional Details,Choose Employment Type,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Employment Type"")]"
61,Additional Details,Professional/Technical,click,,data-testid,"//*[@data-testid=""option-3""]"
62,Additional Details,employerAddressLine1,click,,id,"//*[@id=""employerAddressLine1""]"
63,Additional Details,employerAddressLine1,Input,1 INDEPENDENCE SQUARE,id,"//*[@id=""employerAddressLine1""]"
64,Additional Details,employerCity,click,,id,"//*[@id=""employerCity""]"
65,Additional Details,employerCity,Input,PORT OF SPAIN,id,"//*[@id=""employerCity""]"
66,Additional Details,Choose Country,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Country"")]"
67,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
68,Additional Details,workPhoneNo,click,,id,"//*[@id=""workPhoneNo""]"
69,Additional Details,workPhoneNo,Input,625-1234,id,"//*[@id=""workPhoneNo""]"
70,Additional Details,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
71,Additional Details,$12001-$17000,click,,data-testid,"//*[@data-testid=""option-0""]"
72,Additional Details,Salary Frequency,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Salary Frequency"")]"
73,Additional Details,ANNUALLY,click,,data-testid,"//*[@data-testid=""option-0""]"
74,Additional Details,salary,click,,name,"//input[@name=""salary""]"
75,Additional Details,salary,Input,$ 15000.00,name,"//input[@name=""salary""]"
76,Additional Details,Account Funded,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Account Funded"")]"
77,Additional Details,Via Salary,click,,data-testid,"//*[@data-testid=""option-0""]"
78,Additional Details,nationalOfTTPrimary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
79,Additional Details,nationalOfTTPrimary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
80,Additional Details,placeOfBirth,click,,id,"//*[@id=""placeOfBirth""]"
81,Additional Details,placeOfBirth,Input,PORT OF SPAIN,id,"//*[@id=""placeOfBirth""]"
82,Additional Details,Country of birth,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Country of birth"")]"
83,Additional Details,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
84,Additional Details,nationalOfTTSecondary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
85,Additional Details,nationalOfTTSecondary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]/input[1]
86,Additional Details,Marital Status,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Marital Status"")]"
87,Additional Details,SINGLE,click,,data-testid,"//*[@data-testid=""option-5""]"
88,Additional Details,Highest Level of Education,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""Highest Level of Education"")]"
89,Additional Details,POSTGRADUATE DEGREE,click,,data-testid,"//*[@data-testid=""option-1""]"
90,Additional Details,Communication Method,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Communication Method"")]"
91,Additional Details,Email,click,,data-testid,"//*[@data-testid=""option-0""]"
92,Additional Details,memberOfOtherCreditUnion,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1]
93,Additional Details,memberOfOtherCreditUnion,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[6]/div[1]/div[2]/div[1]/label[2]/input[1]
94,Additional Details,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
95,Other Products,hasBeneficiary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
96,Other Products,hasBeneficiary,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
97,Other Products,hasJointPartner,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1]
98,Other Products,hasJointPartner,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1]
99,Other Products,isApplyingForLincuCardApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
100,Other Products,isApplyingForLincuCardApplication,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
101,Other Products,isApplyingForFipApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[2]/input[1]
102,Other Products,isApplyingForFipApplication,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[2]/input[1]
103,Other Products,hasRecommender,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[1]/label[2]/input[1]
104,Other Products,hasRecommender,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[1]/div[1]/div[1]/label[2]/input[1]
105,Other Products,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
106,PEP / FATCA,isHeadOfState,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
107,PEP / FATCA,isHeadOfState,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
108,PEP / FATCA,isHeadOfGovt,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
109,PEP / FATCA,isHeadOfGovt,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
110,PEP / FATCA,isSenPolitician,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/div[1]/label[2]/input[1]
111,PEP / FATCA,isSenPolitician,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/div[1]/label[2]/input[1]
112,PEP / FATCA,isSenGovtOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1]
113,PEP / FATCA,isSenGovtOfficial,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1]
114,PEP / FATCA,isSenJudicialOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[2]/div[1]/label[2]/input[1]
115,PEP / FATCA,isSenJudicialOfficial,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[5]/div[2]/div[1]/label[2]/input[1]
116,PEP / FATCA,isSenMilitaryOfficial,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[1]/label[2]/input[1]
117,PEP / FATCA,isSenMilitaryOfficial,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]/div[2]/div[1]/label[2]/input[1]
118,PEP / FATCA,isSenExecSOC,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[7]/div[2]/div[1]/label[2]/input[1]
119,PEP / FATCA,isSenExecSOC,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[7]/div[2]/div[1]/label[2]/input[1]
120,PEP / FATCA,isImpPPO,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[8]/div[2]/div[1]/label[2]/input[1]
121,PEP / FATCA,isImpPPO,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[8]/div[2]/div[1]/label[2]/input[1]
122,PEP / FATCA,isImmediateFamily,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[9]/div[2]/div[1]/label[2]/input[1]
123,PEP / FATCA,isImmediateFamily,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[9]/div[2]/div[1]/label[2]/input[1]
124,PEP / FATCA,isMemberOfSeniorManagement,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[10]/div[2]/div[1]/label[2]/input[1]
125,PEP / FATCA,isMemberOfSeniorManagement,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[10]/div[2]/div[1]/label[2]/input[1]
126,PEP / FATCA,isPepAssociate,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[11]/div[2]/div[1]/label[2]/input[1]
127,PEP / FATCA,isPepAssociate,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[11]/div[2]/div[1]/label[2]/input[1]
128,PEP / FATCA,isCitizenOfOtherCountry,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
129,PEP / FATCA,isCitizenOfOtherCountry,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
130,PEP / FATCA,isGreenCardHolder,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
131,PEP / FATCA,isGreenCardHolder,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
132,PEP / FATCA,isGranteePOA,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
133,PEP / FATCA,isGranteePOA,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
134,PEP / FATCA,hasStandingInstructIncome,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[4]/div[1]/div[1]/label[2]/input[1]
135,PEP / FATCA,hasStandingInstructIncome,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[4]/div[1]/div[1]/label[2]/input[1]
136,PEP / FATCA,isDisclosureTaxResidency,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[5]/div[1]/div[1]/label[2]/input[1]
137,PEP / FATCA,isDisclosureTaxResidency,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[5]/div[1]/div[1]/label[2]/input[1]
138,PEP / FATCA,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
139,PDF / Other Details,Select File,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/label[1]
140,PDF / Other Details,1.-job-letter-(less-than-3-months-old),click,,id,"//*[@id=""1.-job-letter-(less-than-3-months-old)""]"
141,PDF / Other Details,1.-job-letter-(less-than-3-months-old),Input,C:\fakepath\JobLetter.pdf,id,"//*[@id=""1.-job-letter-(less-than-3-months-old)""]"
142,PDF / Other Details,Select File,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/label[1]
143,PDF / Other Details,2.-pay-slip-(less-than-1-month-old),click,,id,"//*[@id=""2.-pay-slip-(less-than-1-month-old)""]"
144,PDF / Other Details,2.-pay-slip-(less-than-1-month-old),Input,C:\fakepath\PaySlip.pdf,id,"//*[@id=""2.-pay-slip-(less-than-1-month-old)""]"
145,PDF / Other Details,Submit,click,,data-testid,"//*[@data-testid=""button""]"
146,PDF / Other Details,otp-input-0,click,,id,"//*[@id=""otp-input-0""]"
147,PDF / Other Details,otp-input-0,Input,1,id,"//*[@id=""otp-input-0""]"
148,PDF / Other Details,otp-input-1,Input,2,id,"//*[@id=""otp-input-1""]"
149,PDF / Other Details,otp-input-2,Input,1,id,"//*[@id=""otp-input-2""]"
150,PDF / Other Details,otp-input-3,Input,2,id,"//*[@id=""otp-input-3""]"
151,PDF / Other Details,otp-input-4,Input,1,id,"//*[@id=""otp-input-4""]"
152,PDF / Other Details,otp-input-5,Input,2,id,"//*[@id=""otp-input-5""]"
153,PDF / Other Details,Verify OTP,click,,data-testid,"//*[@data-testid=""submit-button""]"
